timestamp,X,CS,U
391.5,"[3.9290389667626413, 45.24975540094497, -132.427542652544, 3.1022823297281152, -0.5075653032438636, -0.010547942604115929]","[-128.33845552978536, 3.14352957523869]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.5922243580844253, 0.4250000456212173, 0.999999995020303, 0.07499995954830442]"
392.0,"[3.9290329796286003, 45.24974679160596, -132.43281662384604, 3.1024946309482826, -0.5108394523419292, -0.018176567180101313]","[-128.28060385524626, 3.1442693715920593]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.5922243580844253, 0.43750004562121736, 0.999999995020303, 0.06249995954830446]"
392.5,"[3.9290270006771117, 45.24973817363441, -132.44190490743608, 3.102706127862225, -0.5142203667754878, -0.02587546086446134]","[-128.21707487899252, 3.1450290780023833]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.5922243580844253, 0.4500000456212173, 0.999999995020303, 0.04999995954830448]"
393.0,"[3.9290210307454347, 45.24972954639096, -132.4548426378683, 3.102916845502518, -0.5177078464638802, -0.03364149616814214]","[-128.14783778707974, 3.1458090158802654]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.5922243580844253, 0.46250004562121727, 0.999999995020303, 0.03749995954830451]"
393.5,"[3.9290150706775933, 45.24972090923494, -132.47166338595235, 3.1031268087976316, -0.5213016851003356, -0.04147163943510652]","[-128.07286357184188, 3.1466095147582296]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.5922243580844253, 0.47500004562121734, 0.999999995020303, 0.02499995954830454]"
394.0,"[3.9290091213243077, 45.24971226152476, -132.4923992056699, 3.1033360425729932, -0.5250016704092771, -0.049362948258813266]","[-127.99212498005994, 3.14743091219889]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.5922243580844253, 0.4875000456212173, 0.999999995020303, 0.012499959548304566]"
394.5,"[3.92900318354297, 45.24970360261837, -132.51708067979934, 3.1035445715522116, -0.528807583957915, -0.057312568339681465]","[-127.90559646259663, 3.1482735536262743]","[1.0000000123095365, 0.998935859796547, 0.5169081243175921, 0.5922243580844253, 0.5000000456212172, 0.999999995020303, -4.979693482961726e-09]"
395.0,"[3.9289972581975974, 45.24969493187364, -132.54573696396918, 3.1037477569337137, -0.5325064546787525, -0.06533915327642371]","[-127.81325413334613, 3.1490972139560243]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.5797243580844252, 0.5125000456212173, 0.9999999950202992, -4.979697685948891e-09]"
395.5,"[3.9289913456565246, 45.24968624915123, -132.57840654060738, 3.1039503187274846, -0.5361635115176369, -0.07318420087001995]","[-127.71887637148963, 3.1499172833919586]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.5672243580844253, 0.5250000456212173, 0.9999999950202992, -4.979697685948891e-09]"
396.0,"[3.928985446442525, 45.24967755414822, -132.61499864104238, 3.104152259863826, -0.5397827937200594, -0.08084538160368428]","[-127.62126732068398, 3.150734313904289]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.5547243580844252, 0.5375000456212173, 0.9999999950202992, -4.979697685948891e-09]"
396.5,"[3.928979561076676, 45.24966884656432, -132.65542133184422, 3.1043535837761036, -0.543368174660008, -0.08832065585594241]","[-127.52044447097548, 3.151548848794333]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.5422243580844253, 0.5500000456212173, 0.9999999950202992, -4.979697685948891e-09]"
397.0,"[3.9289736900777634, 45.24966012610237, -132.69958165977218, 3.104554294372533, -0.5469233631477505, -0.09560826776201002]","[-127.41642958077291, 3.152361421516223]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.5297243580844253, 0.5625000456212172, 0.9999999950202992, -4.979697685948891e-09]"
397.5,"[3.928967833961713, 45.24965139246882, -132.7473857936532, 3.1047543960084036, -0.550451904717515, -0.10270673923412409]","[-127.30924850065847, 3.153172554577476]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.5172243580844252, 0.5750000456212173, 0.9999999950202992, -4.979697685948891e-09]"
398.0,"[3.928961993241038, 45.249642645374244, -132.79873916327028, 3.104953893458729, -0.5539571828955423, -0.10961486413648647]","[-127.19893100090025, 3.1539827585112263]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.5047243580844253, 0.5875000456212173, 0.9999999950202992, -4.979697685948891e-09]"
398.5,"[3.928956168424316, 45.24963388453377, -132.8535465953385, 3.1051527918913098, -0.5574424204489753, -0.11633170261062475]","[-127.08551060264088, 3.15479253091331]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.4922243580844253, 0.6000000456212173, 0.9999999950202992, -4.979697685948891e-09]"
399.0,"[3.928950360015673, 45.24962510966756, -132.91171244664383, 3.105351096840208, -0.5609106806160409, -0.12285657554711522]","[-126.96902441260954, 3.155602355537819]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.47972435808442526, 0.6125000456212173, 0.9999999950202992, -4.979697685948891e-09]"
399.5,"[3.928944568514302, 45.2496163205012, -132.9731407344174, 3.1055488141796177, -0.5643648683179645, -0.1291890591997489]","[-126.84951296123, 3.1564127014451047]","[1.0000000123095278, 0.9987874331389883, 0.5180391633853637, 0.46722435808442525, 0.6250000456212174, 0.9999999950202992, -4.979697685948891e-09]"
400.0,"[3.9289387944139964, 45.24960751676614, -133.03773526401727, 3.105740636768266, -0.5677749534320673, -0.13553453625781306]","[-126.72702004406779, 3.157212900743081]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.47972435808442526, 0.6125000456212173, 0.9999999960546614, -3.9453375487243295e-09]"
400.5,"[3.928933038135204, 45.24959869828785, -133.10550253214618, 3.1059319450036185, -0.5712086642654142, -0.1416209590844287]","[-126.60216036645596, 3.158020358567348]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.4922243580844253, 0.6000000456212173, 0.9999999960546614, -3.9453375487243295e-09]"
401.0,"[3.9289273002539282, 45.249589864726026, -133.1763130116884, 3.1061227505485327, -0.5746687428698384, -0.14744900862608615]","[-126.47373529924425, 3.158835656615707]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.5047243580844253, 0.5875000456212173, 0.9999999960546614, -3.9453375487243295e-09]"
401.5,"[3.928921581335391, 45.24958101575028, -133.25003751600144, 3.1063130653108155, -0.5781580675945586, -0.15301902548035828]","[-126.34182615531037, 3.1596594137415113]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.5172243580844252, 0.5750000456212173, 0.9999999960546614, -3.9453375487243295e-09]"
402.0,"[3.928915881934369, 45.2495721510397, -133.32654702874163, 3.106502901464424, -0.581679651791843, -0.15833101783039857]","[-126.20651157637342, 3.1604922866723726]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.5297243580844253, 0.5625000456212172, 0.9999999960546614, -3.9453375487243295e-09]"
402.5,"[3.9289102025954987, 45.24956327028249, -133.4057125376568, 3.106692271470018, -0.5852366425454933, -0.16338466914966798]","[-126.06786773456498, 3.1613349707662204]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.5422243580844253, 0.5500000456212173, 0.9999999960546614, -3.9453375487243295e-09]"
403.0,"[3.928904543853539, 45.24955437317571, -133.48740487223162, 3.1068811880948766, -0.5888323194215999, -0.16817934568344534]","[-125.9259685299051, 3.162188200808619]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.5547243580844252, 0.5375000456212173, 0.9999999960546614, -3.9453375487243295e-09]"
403.5,"[3.9288989062336155, 45.24954545942485, -133.57149454507336, 3.1070696644321902, -0.5924723959675025, -0.17270966875850688]","[-125.78088578396923, 3.16305318317891]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.5606302669234358, 0.5250000456212173, 0.9999999960546614, -3.9453375487243295e-09]"
404.0,"[3.9288932902570757, 45.24953652873829, -133.6578493794526, 3.1072577142928504, -0.5961591595697882, -0.17697686627309447]","[-125.632648456366, 3.16393050596428]","[1.0000000123187103, 0.9986183160241583, 0.5192446825063064, 0.5606302669234358, 0.5125000456212173, 0.9999999960546614, -3.9453375487243295e-09]"
