timestamp,X,CS,U
2675.0,"[51.27732341941302, 4.221540603941239, -106.32586828891823, 0.07376124127526489, -0.26136162748894637, -0.2300429874519751]","[-89.84206391736609, 0.2715706557014925]","[0.1580357147880998, 0.37099479148697384, 0.5, 0.9999999950657369, 0.550000004889781, 0.9999999950595375, 0.4499999951005918]"
2680.0,"[51.277311020478635, 4.221541077296625, -107.65576141825893, 0.06536569991621881, -0.28131733278719323, -0.3567919095554166]","[-85.74474167600387, 0.2888115587230497]","[0.14034720382385707, 0.41995032869575, 0.5, 0.9999999950419748, 1.000000004958025, 0.9999999950359162, -4.964083826537141e-09]"
2685.0,"[51.27729735844743, 4.221543095741072, -109.88150432537411, 0.06579209768167815, -0.3174263863752857, -0.5433901465013998]","[-82.11222637208878, 0.3241729644566734]","[0.2160641363138864, 0.4306545798377284, 0.5, 0.9999999950574404, 1.0000000049425595, 0.9999999950518758, -4.948124211954865e-09]"
2690.0,"[51.27728225711262, 4.221546737661883, -112.92978947778006, 0.07204337342420608, -0.3529381207861182, -0.6832145352124573]","[-78.91289534598533, 0.36021599736599175]","[0.3132872394100719, 0.438327107837581, 0.5, 0.9999999950811126, 1.0000000049188873, 0.9999999950711853, -4.928814340792493e-09]"
2695.0,"[51.27726577659724, 4.221552106775126, -116.59204727606449, 0.08637441356772667, -0.3804987427814598, -0.786763156106917]","[-76.36507204678955, 0.3901792313507219]","[0.3829742236619312, 0.4444534484937939, 0.5, 0.9999999950968247, 1.000000004903175, 0.9999999950849857, -4.915014030691469e-09]"
2700.0,"[51.27724822956679, 4.2215589169119925, -120.70495964422597, 0.10837395514472743, -0.39850657182806654, -0.8586985878619372]","[-74.58713607662595, 0.4129799050121802]","[0.43559191740711933, 0.44944026091541256, 0.5, 0.9999999951093463, 0.9500000049031752, 0.9999999950959861, 0.04999999508498594]"
2705.0,"[51.277230293362955, 4.221566366979822, -124.83364963265474, 0.1361224971752984, -0.38006912917384345, -0.7367348434514074]","[-74.66751140858655, 0.40371014006116174]","[0.4569378800018204, 0.45179044865071827, 0.5, 0.9999999951195229, 0.450000004903175, 0.9999999951049282, 0.5499999950849861]"
2710.0,"[51.27721335881717, 4.221572377982547, -127.81160418330381, 0.16532220441359388, -0.3190515672384829, -0.39110809757169646]","[-78.85437826940381, 0.3593401366804191]","[0.4613577954969341, 0.4522770807780612, 0.5, 0.9999999951243138, -4.875685807473726e-09, 0.9999999951091387, 1.000000004890861]"
2715.0,"[51.27719822602203, 4.2215747920551845, -128.9565606328538, 0.19351666233592504, -0.25064806468741924, -0.04975919750758329]","[-87.66916345439817, 0.3166593610383011]","[0.4583026504494026, 0.45194070970163214, 0.5, 0.9999999950461365, -4.953863351277376e-09, 0.9999999950404312, 1.0000000049595685]"
2720.0,"[51.27718463363481, 4.22157302089043, -128.6073189876528, 0.21968305963597423, -0.19119550417323694, 0.20186716199296237]","[-99.1272953443556, 0.291232497340323]","[0.4526247077448639, 0.4513155689401314, 0.5, 0.99999999511964, -4.880359767105753e-09, 0.9999999951092664, 1.0000000048907334]"
2725.0,"[51.277172390836256, 4.221567065795092, -127.15904064179846, 0.24354170389048851, -0.13960984113123245, 0.3836578719715311]","[-111.8198593251056, 0.28071955627381995]","[0.4442254797753349, 0.4503908150213113, 0.5, 0.9999999951184048, 0.04999999511964028, 0.9999999951081515, 0.9500000048907333]"
